,INCHIKEY,31
53,ACUVUDWJWJUPDC-UHFFFAOYSA-N,-1.0
54,ACUWQONVBQJTOB-MOSHPQCFSA-N,-1.0
55,ACWMJNRVNKFXFO-UHFFFAOYSA-N,-1.0
56,ADCNYPCMZJMRFF-JHGYPSGKSA-N,-1.0
57,ADEWQMCOYJIEMS-VVZHRXSXSA-N,-1.0
58,ADGPQFOXXMCWCA-UHFFFAOYSA-N,-1.0
59,ADJIMOHBRADXIH-UHFFFAOYSA-N,-1.0
60,ADOLTVMTEATKJU-UHFFFAOYSA-N,-1.0
61,ADOQAMSUXMQJHL-UHFFFAOYSA-N,-1.0
62,ADPWJUQWAIHRON-UHFFFAOYSA-N,-1.0
63,ADUXQWIKSOSSDH-UHFFFAOYSA-N,-1.0
64,ADXCKCOKWMDXRE-UHFFFAOYSA-N,-1.0
65,ADZSGAYQELWUNZ-UHFFFAOYSA-N,-1.0
66,AEBHMQALVKZIOJ-UHFFFAOYSA-N,-1.0
67,AECDMGQTJIORMB-ULJHMMPZSA-N,-1.0
68,AEEVGUCYDLTPHK-JLHYYAGUSA-N,-1.0
69,AEFLTQLCLGCAJJ-RVDMUPIBSA-N,-1.0
70,AEGHTOQCTCAWMW-UHFFFAOYSA-N,-1.0
71,AEIKRJVOTGGRQH-UHFFFAOYSA-N,-1.0
72,AEILPZOZSYMSEF-UHFFFAOYSA-N,-1.0
73,AEINRCKWDKCKJY-UHFFFAOYSA-N,-1.0
74,AEJOEPSMZCEYJN-HXUWFJFHSA-N,-1.0
75,AEKHNNIENKHATR-UHFFFAOYSA-N,-1.0
76,AEKZOGLVLOZMLY-UHFFFAOYSA-N,-1.0
77,AEMKPSYXSVLTAJ-UHFFFAOYSA-N,-1.0
78,AEOCXXJPGCBFJA-UHFFFAOYSA-N,-1.0
79,AEONYYYVUMADME-UHFFFAOYSA-N,-1.0
80,AEPOHJYRCYPODV-UHFFFAOYSA-N,-1.0
81,AEWZLQMPHQVZPN-UHFFFAOYSA-N,-1.0
82,AEXQSORQCYRTJF-UHFFFAOYSA-N,-1.0
83,AEYQPEUDXAQAFL-UHFFFAOYSA-N,-1.0
84,AEZGVSCOIZTTBC-RAXLEYEMSA-N,-1.0
85,AFAPWMRCFMPQBV-UHFFFAOYSA-N,-1.0
86,AFARTCQWZVTVJO-UHFFFAOYSA-N,-1.0
87,AFBAUCIRKZNOEI-UHFFFAOYSA-N,-1.0
88,AFBWAJQRQKNZTG-UHFFFAOYSA-N,-1.0
89,AFDYPIPHTVUMJL-UHFFFAOYSA-N,-1.0
90,AFGUBGJGDLCTHC-UHFFFAOYSA-N,-1.0
91,AFILFYYGFRBRIA-UHFFFAOYSA-N,-1.0
92,AFIXLXSJIGDAOC-UHFFFAOYSA-N,-1.0
93,AFJGGVKGGIUNFB-UHFFFAOYSA-N,-1.0
94,AFMKTQHRDBNAKW-UHFFFAOYSA-N,0.0
95,AFSOIHMEOKEZJF-UHFFFAOYSA-N,-1.0
96,AFXPYHKXSBBVDU-UHFFFAOYSA-N,-1.0
97,AGAHBUGKJJYNCW-UHFFFAOYSA-N,-1.0
98,AGBLCCFQXJWYBS-UHFFFAOYSA-N,-1.0
99,AGCSFEMNYLPWSY-UHFFFAOYSA-N,0.0
100,AGCXEVKTJDFEIW-UHFFFAOYSA-N,-1.0
101,AGDUKHOZICPDPX-UHFFFAOYSA-N,-1.0
102,AGFWYRJIAJSVTE-UHFFFAOYSA-N,-1.0
103,AGHRYYKCIBSXOG-UHFFFAOYSA-N,-1.0
104,AGIAQXNCZZGFLH-UHFFFAOYSA-N,-1.0
105,AGKAAJMNNVUNDK-UHFFFAOYSA-N,-1.0
106,AGKRHAILCPYNFH-DUQSFWPASA-N,-1.0
107,AGLRVQFITFFTRR-UHFFFAOYSA-N,-1.0
108,AGMMTXLNIQSRCG-UHFFFAOYSA-N,1.0
109,AGNCTQYSKRYEFE-UHFFFAOYSA-N,-1.0
110,AGNULNVDXZEHSS-UHFFFAOYSA-N,-1.0
111,AGOYBDGDMVYPKN-UHFFFAOYSA-N,-1.0
112,AGPINAKWCPQLMO-UHFFFAOYSA-N,-1.0
113,AGQAENFTCGWHKW-UHFFFAOYSA-N,-1.0
114,AGQMBQLYIPSXBR-UHFFFAOYSA-N,-1.0
115,AGSGFBQWNNZFBC-UHFFFAOYSA-N,-1.0
116,AGXUUOJHZDZBFN-UWVJOHFNSA-N,-1.0
117,AGXWWAUSOBQQID-NDENLUEZSA-N,-1.0
118,AGYDNJPPEFCTLE-UHFFFAOYSA-N,-1.0
119,AHANXAKGNAKFSK-PDBXOOCHSA-N,-1.0
120,AHCGZNXGBCOYSI-UHFFFAOYSA-N,-1.0
121,AHFUKBBKJQDPIW-CPNJWEJPSA-N,-1.0
122,AHGMTMVXQPAUJV-UHFFFAOYSA-N,-1.0
123,AHIXJJWCUYTEII-UHFFFAOYSA-N,-1.0
124,AHJFWPADOKSKIE-UHFFFAOYSA-N,-1.0
125,AHJRAELVJNWEIP-UHFFFAOYSA-N,-1.0
126,AHKBAATWJXKTGZ-BBTUJRGHSA-N,-1.0
127,AHLHZSCENKUUSF-UHFFFAOYSA-N,-1.0
128,AHNGFMANMVPMLG-UHFFFAOYSA-N,-1.0
129,AHNRKXJEHDLKTF-UHFFFAOYSA-N,-1.0
130,AHOUBRCZNHFOSL-YOEHRIQHSA-N,-1.0
131,AHTJFPVCZKLMIE-RVDMUPIBSA-N,-1.0
132,AHWXPMSTZOIWOT-UHFFFAOYSA-N,-1.0
133,AHXNCGUEOCEZLI-UHFFFAOYSA-N,-1.0
134,AHZKLLCOCOJCAQ-UHFFFAOYSA-N,-1.0
135,AIAUBLZIUFOPKQ-UHFFFAOYSA-N,-1.0
136,AIFRHYZBTHREPW-UHFFFAOYSA-N,1.0
137,AIFVXBUWNSFCAJ-CSKARUKUSA-N,-1.0
138,AIHFDVZZSAZCQP-UHFFFAOYSA-N,-1.0
139,AIHKMGLJGLKLSI-UHFFFAOYSA-N,-1.0
140,AIJBMSNYDXEQQX-UHFFFAOYSA-N,-1.0
141,AIJXENIASDJLKH-UHFFFAOYSA-N,-1.0
142,AIMWEBWUEILSCH-UHFFFAOYSA-N,-1.0
143,AINSTPYBZSXWHP-UHFFFAOYSA-N,-1.0
144,AIONOLUJZLIMTK-AWEZNQCLSA-N,0.0
145,AIPJVLYJNYNDQF-UHFFFAOYSA-N,-1.0
146,AIPQAXWNBFJZCQ-UHFFFAOYSA-N,-1.0
147,AIQYAGCWQZIFBM-UHFFFAOYSA-N,-1.0
148,AISUMVRDEXUUBA-UHFFFAOYSA-N,-1.0
149,AITKNUAVRFKATC-UHFFFAOYSA-N,-1.0
150,AJAMEWYBAUQISK-FLMHHTSDSA-N,-1.0
151,AJBBEYXFRYFVNM-UHFFFAOYSA-N,-1.0
152,AJCJKOJVNWOCFK-UHFFFAOYSA-N,-1.0
153,AJFAFMACKFUGBN-UHFFFAOYSA-N,-1.0
154,AJFFBPZYXRNAIC-UHFFFAOYSA-N,-1.0
155,AJFINBIBIHGQFB-UHFFFAOYSA-N,-1.0
156,AJFTZWGGHJXZOB-UHFFFAOYSA-N,-1.0
157,AJGFPENPQSUXJX-UHFFFAOYSA-N,1.0
158,AJGUNSPGEMSDLA-UHFFFAOYSA-N,-1.0
159,AJHNSIOCFMVBSS-UHFFFAOYSA-N,-1.0
160,AJJCISNFRLJCLL-UHFFFAOYSA-N,-1.0
161,AJKSWRPZYOXMGP-UHFFFAOYSA-N,-1.0
162,AJLFOPYRIVGYMJ-INTXDZFKSA-N,-1.0
163,AJMWESYOQQIRSD-UHFFFAOYSA-N,-1.0
164,AJNUWNVGWAWEEQ-UHFFFAOYSA-N,-1.0
165,AJRMZGJRUZQQIJ-UHFFFAOYSA-N,-1.0
166,AJSPSRWWZBBIOR-UHFFFAOYSA-N,-1.0
167,AJSXKTMPEQNQES-CVCOPPNTSA-N,-1.0
168,AJVHLBIZFWJCAE-UHFFFAOYSA-N,-1.0
169,AJVKUWRKUUSINF-UHFFFAOYSA-N,-1.0
170,AJWSMLZKBWKPDH-UHFFFAOYSA-N,-1.0
171,AKABMFCZDGAJDL-UHFFFAOYSA-N,-1.0
172,AKBGLCIGQGUMLW-MHWRWJLKSA-N,-1.0
173,AKCMMYWXXNCXES-UHFFFAOYSA-N,-1.0
174,AKDCLHAYVVMHFB-UHFFFAOYSA-N,-1.0
175,AKHAZTNCFSWKCN-UHFFFAOYSA-N,-1.0
176,AKILLFQNTLYQHV-UHFFFAOYSA-N,-1.0
177,AKJHMTWEGVYYSE-FXILSDISSA-N,-1.0
178,AKKHSCHUDQWGTF-UHFFFAOYSA-N,-1.0
179,AKLBUCREYAAHGO-UHFFFAOYSA-N,-1.0
180,AKMNUCBQGHFICM-UHFFFAOYSA-N,-1.0
181,AKNNEGZIBPJZJG-QZTJIDSGSA-N,-1.0
182,AKPKVAZBSUXKSJ-UHFFFAOYSA-N,-1.0
183,AKPUCJQSLKCIIJ-UHFFFAOYSA-N,-1.0
184,AKQCRDHWBDZILH-UHFFFAOYSA-N,-1.0
185,AKTQZKSTAWVSKJ-UHFFFAOYSA-N,-1.0
186,AKTYXVQVZJLCEL-UHFFFAOYSA-N,-1.0
187,AKUBAYRXIKBKMD-UHFFFAOYSA-N,0.0
188,AKUJBENLRBOFTD-RPRRAYFGSA-N,-1.0
189,AKULYVRZEMKLJR-LNPFQXMTSA-N,-1.0
190,AKURUKNQDJYGJR-UHFFFAOYSA-N,-1.0
191,AKYGOEVGMSSOLO-UHFFFAOYSA-N,0.0
192,ALAZKHHIMOUNCX-UHFFFAOYSA-N,-1.0
193,ALBKMJDFBZVHAK-UHFFFAOYSA-N,-1.0
194,ALBMUELERHFBCG-UHFFFAOYSA-N,-1.0
195,ALCSGJCIESECFD-UHFFFAOYSA-N,-1.0
196,ALEXXDVDDISNDU-JZYPGELDSA-N,0.0
197,ALFAINUKBRWQPH-UHFFFAOYSA-N,-1.0
198,ALFGDCNSEBJYSP-UHFFFAOYSA-N,0.0
199,ALFMTFUIVUKCCM-UHFFFAOYSA-N,-1.0
200,ALIHKYQHSUEULO-UHFFFAOYSA-N,-1.0
201,ALJZALDUCAILCZ-UHFFFAOYSA-N,-1.0
202,ALLRDXPTMBEELL-UHFFFAOYSA-N,-1.0
203,ALLWOAVDORUJLA-UHFFFAOYSA-N,-1.0
204,ALOSNTJZINUQLV-UHFFFAOYSA-N,0.0
205,ALSPBPOXXIUURS-UHFFFAOYSA-N,-1.0
206,ALWKGYPQUAPLQC-UHFFFAOYSA-N,-1.0
207,AMCDOYQAFPUTSD-UHFFFAOYSA-N,-1.0
208,AMDCSXGQMORJKP-UHFFFAOYSA-N,-1.0
209,AMDHZXXQDIWVNQ-UHFFFAOYSA-N,-1.0
210,AMDJEUDVWWVCPN-UHFFFAOYSA-N,-1.0
211,AMKYESDOVDKZKV-UHFFFAOYSA-N,-1.0
212,AMLJKGIHHITBDS-UHFFFAOYSA-N,-1.0
213,AMMRMSUGAMFLLR-UHFFFAOYSA-N,-1.0
214,AMOOOGWPTQZZHI-UHFFFAOYSA-N,-1.0
215,AMSAICQWZZDCEM-ZXCOBTLNSA-N,-1.0
216,AMSYFDFBIFZQBP-UHFFFAOYSA-N,-1.0
217,AMTUZINQWIIGLW-UHFFFAOYSA-N,-1.0
218,AMUMCOAHTVMOAC-UHFFFAOYSA-N,-1.0
219,AMVIYBUBHKBEIY-UHFFFAOYSA-N,-1.0
220,AMWLWLVDKVXLFK-UHFFFAOYSA-N,-1.0
221,AMXKABWGEBMLDF-HHJKRLRDSA-N,-1.0
222,ANBICWUKCFLASK-UHFFFAOYSA-N,-1.0
223,ANCIBQYOGDRVEZ-UHFFFAOYSA-N,-1.0
224,ANDGYYJMMCTBPP-UHFFFAOYSA-N,-1.0
225,ANDWDBBSDJPBJE-UHFFFAOYSA-N,0.0
226,ANFXSJDPGZAMEP-UHFFFAOYSA-N,-1.0
227,ANHWSKCBERYBNG-UHFFFAOYSA-N,0.0
228,ANIJAGIIVRSADG-UHFFFAOYSA-N,-1.0
229,ANJTVLIZGCUXLD-DTWKUNHWSA-N,-1.0
230,ANMLJLFWUCQGKZ-UHFFFAOYSA-N,-1.0
231,ANMXERMCPKPWLU-UHFFFAOYSA-N,-1.0
232,ANNXJQNNQXTYRF-UHFFFAOYSA-N,-1.0
233,ANRSIGUDHUBZOA-UHFFFAOYSA-N,-1.0
234,ANTLQBMMFPNGQF-RVDMUPIBSA-N,-1.0
235,ANVCKVJMNHXGBG-FYBXHKAZSA-N,-1.0
236,ANVFDWBCVDQNEZ-UHFFFAOYSA-N,0.0
237,ANXFQERLRQGOSV-HFZPWKHCSA-N,-1.0
238,ANXKOFDVDMSSFK-SFYKDHMMSA-N,-1.0
239,ANXQJSVQYXQAAT-UHFFFAOYSA-N,-1.0
240,ANXUAMWXFVTWBE-UHFFFAOYSA-N,-1.0
241,ANZXOIAKUNOVQU-UHFFFAOYSA-N,-1.0
242,AOCJTXXSCQUWJK-UHFFFAOYSA-N,-1.0
243,AOHGWLYZVBCVCN-UHFFFAOYSA-N,-1.0
244,AOJJSUZBOXZQNB-TZSSRYMLSA-N,-1.0
245,AOJYUCODXLAKOU-UHFFFAOYSA-N,-1.0
246,AOLOGDKWBXCZEM-UHFFFAOYSA-N,-1.0
247,AOLQXGYCKFKIPQ-UHFFFAOYSA-N,-1.0
248,AORQFQRMBKGVPL-UHFFFAOYSA-N,-1.0
249,AOUHEBALMWXJRC-UHFFFAOYSA-N,-1.0
250,AOUWQUSRMDJTJV-UHFFFAOYSA-N,-1.0
251,AOWDMULDHNLFER-UHFFFAOYSA-N,-1.0
252,AOWRQRVBAUXZMU-UHFFFAOYSA-N,-1.0
253,AOZWUJUIOGRPFN-UHFFFAOYSA-N,-1.0
254,APBXJKZUYAAVJS-UHFFFAOYSA-N,-1.0
255,APDMHZKESGQPPV-VQHVLOKHSA-N,-1.0
256,APDMZOWNVCUUKT-BBTUJRGHSA-N,-1.0
257,APEBDJMZLASLIL-UHFFFAOYSA-N,-1.0
258,APGNCGQMAUPNGB-UHFFFAOYSA-N,-1.0
259,APIUJQLXJPJERX-UHFFFAOYSA-N,-1.0
260,APIXJSLKIYYUKG-UHFFFAOYSA-N,-1.0
261,APJLVPXFLCTIJX-UHFFFAOYSA-N,-1.0
262,APLDNAXBEDLBDA-UHFFFAOYSA-N,-1.0
263,APLGEAWUXWPDAF-UHFFFAOYSA-N,-1.0
264,APNFYXCQUWJYBP-UHFFFAOYSA-N,-1.0
265,APPXCMLRVQQRNG-UHFFFAOYSA-N,-1.0
266,APQCBAKMOBMKMP-UHFFFAOYSA-N,-1.0
267,APQNTBCJKKGZJG-UHFFFAOYSA-N,-1.0
268,APRMNRPQKUTJHA-UHFFFAOYSA-N,-1.0
269,APUVMPYXYOEPCI-IPKWWJLYSA-N,-1.0
270,APUVMPYXYOEPCI-QHKNHCAJSA-N,-1.0
271,APWLSOMMVQHYQM-UHFFFAOYSA-N,-1.0
272,APWUXYFXBMGRIO-HNMNOHOESA-N,-1.0
273,APYGAJCXDCLDTA-UHFFFAOYSA-N,-1.0
274,AQAHUNCWGUYMGM-UHFFFAOYSA-N,-1.0
275,AQASGOHUMGAWJJ-UHFFFAOYSA-N,-1.0
276,AQBKYYYBJIOSNU-UHFFFAOYSA-N,-1.0
277,AQBWUEJVFPHJKP-UHFFFAOYSA-N,-1.0
278,AQCHWTWZEMGIFD-UHFFFAOYSA-N,1.0
279,AQERYHSAKUBTEX-UHFFFAOYSA-N,-1.0
280,AQFFXPQJLZFABJ-UHFFFAOYSA-N,-1.0
281,AQGQGXJINFPOMP-UHFFFAOYSA-N,-1.0
282,AQHHHDLHHXJYJD-AWEZNQCLSA-N,-1.0
283,AQHHHDLHHXJYJD-CQSZACIVSA-N,-1.0
284,AQHHHDLHHXJYJD-UHFFFAOYSA-N,-1.0
285,AQIXAKUUQRKLND-UHFFFAOYSA-N,-1.0
286,AQJIGPKXAIINEO-UHFFFAOYSA-N,0.0
287,AQKGMHKALMBSDU-UHFFFAOYSA-N,-1.0
288,AQQZWSKKBHAKCI-UHFFFAOYSA-N,-1.0
289,AQWOKNZRXXHZFI-UHFFFAOYSA-N,-1.0
290,AQWWIOJBPOBUDQ-UHFFFAOYSA-N,-1.0
291,ARAJZPPGAUPOAZ-UHFFFAOYSA-N,-1.0
292,ARAMEYDTNQOQNB-UHFFFAOYSA-N,-1.0
293,ARDAJBPAFNRCTM-UHFFFAOYSA-N,-1.0
294,AREXEJCINWJIMP-UHFFFAOYSA-N,-1.0
295,ARFHIAQFJWUCFH-UHFFFAOYSA-N,-1.0
296,ARFQPWBTZDLRGW-UHFFFAOYSA-N,-1.0
297,ARGXKQUFWANHMW-UHFFFAOYSA-N,-1.0
298,ARJBZCFGAHBHDX-UHFFFAOYSA-N,-1.0
299,ARJLOLQLNXHOOC-UHFFFAOYSA-N,-1.0
300,ARLGWSBOWGUQGF-UHFFFAOYSA-N,-1.0
301,ARLNYGOQDMCXLP-UHFFFAOYSA-N,-1.0
302,ARMAKTDXVGGRQV-UHFFFAOYSA-N,-1.0
303,ARNFWZQDKJZNHV-UHFFFAOYSA-N,-1.0
304,ARTRGOPQCSIMHO-UHFFFAOYSA-N,-1.0
305,ARUAGQGCXPFUOS-UHFFFAOYSA-N,-1.0
306,ARULSDQRCKOYIO-UHFFFAOYSA-N,-1.0
307,ARZITOZUTNWSOG-UHFFFAOYSA-N,-1.0
308,ARZQAIDEAJTKDX-UHFFFAOYSA-N,-1.0
309,ARZXORPLIISFEG-UHFFFAOYSA-N,-1.0
310,ASDDMCAZRJHKBL-FMIVXFBMSA-N,-1.0
311,ASLMSVLPUIFLIY-UHFFFAOYSA-N,-1.0
312,ASPPPXMWIWFZPH-UHFFFAOYSA-N,-1.0
313,ASTICKBBDNPFLV-UHFFFAOYSA-N,-1.0
314,ASUTZQLVASHGKV-JDFRZJQESA-N,1.0
315,ASVYLSLJHPYBNG-UHFFFAOYSA-N,-1.0
316,ASVZHKGQNHXEDR-UHFFFAOYSA-N,-1.0
317,ASWVTGNCAZCNNR-UHFFFAOYSA-N,1.0
318,ASWWIJZCKSFRRK-UHFFFAOYSA-N,-1.0
319,ASXGJMSKWNBENU-CQSZACIVSA-N,1.0
320,ASXGJMSKWNBENU-UHFFFAOYSA-N,-1.0
321,ASYZTKCBDLULEQ-UHFFFAOYSA-N,-1.0
322,ASZRHXKUEMHBKN-UHFFFAOYSA-N,-1.0
323,ASZXVOGHNNBRPS-AATRIKPKSA-N,-1.0
324,ATDPQEPHNOQBOD-UHFFFAOYSA-N,0.0
325,ATEFPOUAMCWAQS-UHFFFAOYSA-N,0.0
326,ATFDVOJOQZNNMA-UHFFFAOYSA-N,-1.0
327,ATFLVBASRFUFAE-UHFFFAOYSA-N,-1.0
328,ATIQXFYTSDVDTE-QPJJXVBHSA-N,-1.0
329,ATKPLDDGMIKJMB-UHFFFAOYSA-N,-1.0
330,ATNOWKHZXUTJKM-VQHVLOKHSA-N,-1.0
331,ATOWWQNUFHSVDL-UHFFFAOYSA-N,-1.0
332,ATRJAQVYBJKZJK-UHFFFAOYSA-N,-1.0
333,ATRRQBZUOKATSJ-BQYQJAHWSA-N,-1.0
334,ATSHBJSURJRITP-UHFFFAOYSA-N,-1.0
335,ATSWBWHRHAQVFM-UHFFFAOYSA-N,-1.0
336,ATWCWDRQBGNNFG-UHFFFAOYSA-N,-1.0
337,ATXXZPRIZZTJII-UHFFFAOYSA-N,-1.0
338,ATZFJFSDKLYBSV-UHFFFAOYSA-N,-1.0
339,AUDQXZNQLJRRGD-KQCXNUNXSA-N,-1.0
340,AUEJKAYMDPANCB-UHFFFAOYSA-N,-1.0
341,AUGUBBXUTRDLNA-UHFFFAOYSA-N,-1.0
342,AUGULEYODXXYMM-UHFFFAOYSA-N,-1.0
343,AUKGEVZMXPNOHI-UHFFFAOYSA-N,-1.0
344,AULWRMWVYRKDQT-UHFFFAOYSA-N,-1.0
345,AUNGANRZJHBGPY-MBNYWOFBSA-N,-1.0
346,AURFZBICLPNKBZ-SYBPFIFISA-N,-1.0
347,AUTAHAXBVMFIRR-UHFFFAOYSA-N,-1.0
348,AUTKUCVVRPJBCM-UHFFFAOYSA-N,-1.0
349,AUVVAXYIELKVAI-CKBKHPSWSA-N,-1.0
350,AUYWZVBGWIZYPZ-UHFFFAOYSA-N,-1.0
351,AUYYCJSJGJYCDS-LBPRGKRZSA-N,-1.0
352,AUZONCFQVSMFAP-UHFFFAOYSA-N,0.0
353,AVBBDSGNHQAWBO-UHFFFAOYSA-N,-1.0
354,AVBSIKMUAFYZAV-UHFFFAOYSA-N,1.0
355,AVDKNUNMNZNUPV-UHFFFAOYSA-N,-1.0
356,AVEPIRUGHKMVQU-UHFFFAOYSA-N,-1.0
357,AVFGUWZHRCOPMQ-UHFFFAOYSA-N,-1.0
358,AVLLZEDGRZHCTI-UHFFFAOYSA-N,-1.0
359,AVLNBITYSNSDNT-UHFFFAOYSA-N,-1.0
360,AVMJNCJSYBFURN-WBVHZDCISA-N,-1.0
361,AVOLMBLBETYQHX-UHFFFAOYSA-N,-1.0
362,AVRLWTHPEGLUJT-UHFFFAOYSA-N,-1.0
363,AVSQPCDYTBQJQM-UHFFFAOYSA-N,-1.0
364,AVTAZXQGCNSUPN-UHFFFAOYSA-N,-1.0
365,AVWSRKJKCVEYCC-VHEBQXMUSA-N,0.0
366,AVXQPEKZIGPIJW-UHFFFAOYSA-N,0.0
367,AVYINTPRJGWUCL-UHFFFAOYSA-N,-1.0
368,AWBBMFXXCINDIY-AFKLWXAFSA-N,-1.0
369,AWBBMFXXCINDIY-CTWZREHQSA-N,-1.0
370,AWBBMFXXCINDIY-RLPNJSHFSA-N,-1.0
371,AWBBMFXXCINDIY-SBZVUBOMSA-N,-1.0
372,AWBBMFXXCINDIY-SGQNLQFHSA-N,-1.0
373,AWBBMFXXCINDIY-VDWGHMIBSA-N,-1.0
374,AWDFMQCVWGJQCY-UHFFFAOYSA-N,-1.0
375,AWEFIAYVGFZNOT-UHFFFAOYSA-N,-1.0
376,AWEVAFGPTHYXOX-UHFFFAOYSA-N,-1.0
377,AWFAHQNYGBLQIG-UHFFFAOYSA-N,-1.0
378,AWFOICWLUXROFE-UHFFFAOYSA-N,-1.0
379,AWMRTMAWOOHNGZ-UHFFFAOYSA-N,-1.0
380,AWMZXKYPBZZDKM-UHFFFAOYSA-N,-1.0
381,AWQMDMUUXYJKJJ-UHFFFAOYSA-N,-1.0
382,AWRCFPCUTJOIKR-UHFFFAOYSA-N,-1.0
383,AWRHBIJUBLUIGV-UHFFFAOYSA-N,-1.0
384,AWVASGRLDZTAAI-HMFYCAOWSA-N,-1.0
385,AWVASGRLDZTAAI-NJNPRVFISA-N,-1.0
386,AWXTVMYBDNOCOU-UHFFFAOYSA-N,-1.0
387,AWYXXQVWOOKQND-UHFFFAOYSA-N,-1.0
388,AWZDQXXQISBJBK-UHFFFAOYSA-N,-1.0
389,AXBJPSYRCLUHNL-AOHZZOSCSA-N,-1.0
390,AXBJPSYRCLUHNL-CNFUJFEGSA-N,-1.0
391,AXBJPSYRCLUHNL-CYOUBLJMSA-N,-1.0
392,AXBJPSYRCLUHNL-FXIKWKPTSA-N,-1.0
393,AXBJPSYRCLUHNL-GTEDWBNGSA-N,-1.0
394,AXBJPSYRCLUHNL-HSFWNXDSSA-N,-1.0
395,AXBJPSYRCLUHNL-NBTLCYJSSA-N,-1.0
396,AXBJPSYRCLUHNL-OSYMNAPVSA-N,-1.0
397,AXBJPSYRCLUHNL-PBANKSGMSA-N,-1.0
398,AXBJPSYRCLUHNL-QNBZCSHPSA-N,-1.0
399,AXBJPSYRCLUHNL-TXHDDHBJSA-N,-1.0
400,AXBJPSYRCLUHNL-XDAUYTPDSA-N,-1.0
401,AXDFLVHBQVEESJ-UHFFFAOYSA-N,-1.0
402,AXHMZPFIRXUQEJ-UHFFFAOYSA-N,-1.0
403,AXINTJCSUMNFQA-UHFFFAOYSA-N,0.0
404,AXIVSTHBJFCRNV-UHFFFAOYSA-N,-1.0
